Current(A)	Counts(n)
-16.2000	356.0861
-16.1800	356.6736
-16.1600	357.2577
-16.1400	357.8383
-16.1200	358.4153
-16.1000	358.9889
-16.0800	359.5589
-16.0600	360.1254
-16.0400	360.6883
-16.0200	361.2476
-16.0000	361.8034
-15.9800	362.3556
-15.9600	362.9041
-15.9400	363.4491
-15.9200	363.9904
-15.9000	364.5281
-15.8800	365.0621
-15.8600	365.5925
-15.8400	366.1192
-15.8200	366.6422
-15.8000	367.1615
-15.7800	367.6771
-15.7600	368.1889
-15.7400	368.6970
-15.7200	369.2014
-15.7000	369.7020
-15.6800	370.1989
-15.6600	370.6920
-15.6400	371.1813
-15.6200	371.6667
-15.6000	372.1484
-15.5800	372.6263
-15.5600	373.1003
-15.5400	373.5704
-15.5200	374.0368
-15.5000	374.4992
-15.4800	374.9578
-15.4600	375.4125
-15.4400	375.8633
-15.4200	376.3102
-15.4000	376.7531
-15.3800	377.1922
-15.3600	377.6273
-15.3400	378.0585
-15.3200	378.4857
-15.3000	378.9089
-15.2800	379.3282
-15.2600	379.7435
-15.2400	380.1548
-15.2200	380.5621
-15.2000	380.9654
-15.1800	381.3647
-15.1600	381.7599
-15.1400	382.1511
-15.1200	382.5383
-15.1000	382.9214
-15.0800	383.3005
-15.0600	383.6755
-15.0400	384.0464
-15.0200	384.4132
-15.0000	384.7759
-14.9800	385.1345
-14.9600	385.4890
-14.9400	385.8394
-14.9200	386.1857
-14.9000	386.5278
-14.8800	386.8658
-14.8600	387.1996
-14.8400	387.5293
-14.8200	387.8548
-14.8000	388.1762
-14.7800	388.4933
-14.7600	388.8063
-14.7400	389.1151
-14.7200	389.4197
-14.7000	389.7200
-14.6800	390.0162
-14.6600	390.3081
-14.6400	390.5959
-14.6200	390.8794
-14.6000	391.1586
-14.5800	391.4336
-14.5600	391.7044
-14.5400	391.9709
-14.5200	392.2331
-14.5000	392.4910
-14.4800	392.7447
-14.4600	392.9941
-14.4400	393.2393
-14.4200	393.4801
-14.4000	393.7166
-14.3800	393.9489
-14.3600	394.1768
-14.3400	394.4004
-14.3200	394.6197
-14.3000	394.8347
-14.2800	395.0453
-14.2600	395.2516
-14.2400	395.4536
-14.2200	395.6513
-14.2000	395.8446
-14.1800	396.0335
-14.1600	396.2181
-14.1400	396.3983
-14.1200	396.5742
-14.1000	396.7457
-14.0800	396.9129
-14.0600	397.0756
-14.0400	397.2340
-14.0200	397.3880
-14.0000	397.5377
-13.9800	397.6829
-13.9600	397.8238
-13.9400	397.9602
-13.9200	398.0923
-13.9000	398.2199
-13.8800	398.3432
-13.8600	398.4621
-13.8400	398.5765
-13.8200	398.6866
-13.8000	398.7922
-13.7800	398.8934
-13.7600	398.9902
-13.7400	399.0826
-13.7200	399.1705
-13.7000	399.2541
-13.6800	399.3332
-13.6600	399.4079
-13.6400	399.4781
-13.6200	399.5440
-13.6000	399.6053
-13.5800	399.6623
-13.5600	399.7148
-13.5400	399.7629
-13.5200	399.8066
-13.5000	399.8458
-13.4800	399.8806
-13.4600	399.9109
-13.4400	399.9368
-13.4200	399.9583
-13.4000	399.9753
-13.3800	399.9879
-13.3600	399.9961
-13.3400	399.9998
-13.3200	399.9990
-13.3000	399.9938
-13.2800	399.9842
-13.2600	399.9701
-13.2400	399.9516
-13.2200	399.9287
-13.2000	399.9013
-13.1800	399.8695
-13.1600	399.8332
-13.1400	399.7925
-13.1200	399.7474
-13.1000	399.6978
-13.0800	399.6438
-13.0600	399.5854
-13.0400	399.5225
-13.0200	399.4552
-13.0000	399.3835
-12.9800	399.3073
-12.9600	399.2267
-12.9400	399.1417
-12.9200	399.0523
-12.9000	398.9584
-12.8800	398.8602
-12.8600	398.7575
-12.8400	398.6504
-12.8200	398.5389
-12.8000	398.4229
-12.7800	398.3026
-12.7600	398.1779
-12.7400	398.0488
-12.7200	397.9152
-12.7000	397.7773
-12.6800	397.6350
-12.6600	397.4883
-12.6400	397.3372
-12.6200	397.1817
-12.6000	397.0219
-12.5800	396.8576
-12.5600	396.6890
-12.5400	396.5161
-12.5200	396.3387
-12.5000	396.1571
-12.4800	395.9710
-12.4600	395.7806
-12.4400	395.5859
-12.4200	395.3868
-12.4000	395.1834
-12.3800	394.9756
-12.3600	394.7635
-12.3400	394.5471
-12.3200	394.3263
-12.3000	394.1013
-12.2800	393.8719
-12.2600	393.6383
-12.2400	393.4003
-12.2200	393.1580
-12.2000	392.9115
-12.1800	392.6606
-12.1600	392.4055
-12.1400	392.1461
-12.1200	391.8825
-12.1000	391.6146
-12.0800	391.3424
-12.0600	391.0660
-12.0400	390.7853
-12.0200	390.5004
-12.0000	390.2113
-11.9800	389.9180
-11.9600	389.6204
-11.9400	389.3186
-11.9200	389.0126
-11.9000	388.7024
-11.8800	388.3881
-11.8600	388.0695
-11.8400	387.7468
-11.8200	387.4199
-11.8000	387.0888
-11.7800	386.7536
-11.7600	386.4142
-11.7400	386.0707
-11.7200	385.7231
-11.7000	385.3713
-11.6800	385.0154
-11.6600	384.6555
-11.6400	384.2914
-11.6200	383.9232
-11.6000	383.5509
-11.5800	383.1746
-11.5600	382.7942
-11.5400	382.4097
-11.5200	382.0212
-11.5000	381.6286
-11.4800	381.2320
-11.4600	380.8314
-11.4400	380.4268
-11.4200	380.0182
-11.4000	379.6055
-11.3800	379.1889
-11.3600	378.7683
-11.3400	378.3437
-11.3200	377.9152
-11.3000	377.4827
-11.2800	377.0463
-11.2600	376.6059
-11.2400	376.1616
-11.2200	375.7134
-11.2000	375.2613
-11.1800	374.8053
-11.1600	374.3455
-11.1400	373.8817
-11.1200	373.4141
-11.1000	372.9427
-11.0800	372.4674
-11.0600	371.9883
-11.0400	371.5053
-11.0200	371.0186
-11.0000	370.5280
-10.9800	370.0337
-10.9600	369.5356
-10.9400	369.0337
-10.9200	368.5281
-10.9000	368.0187
-10.8800	367.5056
-10.8600	366.9888
-10.8400	366.4683
-10.8200	365.9440
-10.8000	365.4161
-10.7800	364.8845
-10.7600	364.3493
-10.7400	363.8104
-10.7200	363.2679
-10.7000	362.7217
-10.6800	362.1719
-10.6600	361.6185
-10.6400	361.0616
-10.6200	360.5010
-10.6000	359.9369
-10.5800	359.3693
-10.5600	358.7981
-10.5400	358.2234
-10.5200	357.6451
-10.5000	357.0634
-10.4800	356.4782
-10.4600	355.8895
-10.4400	355.2973
-10.4200	354.7017
-10.4000	354.1026
-10.3800	353.5002
-10.3600	352.8943
-10.3400	352.2850
-10.3200	351.6724
-10.3000	351.0564
-10.2800	350.4370
-10.2600	349.8143
-10.2400	349.1882
-10.2200	348.5589
-10.2000	347.9262
-10.1800	347.2903
-10.1600	346.6511
-10.1400	346.0086
-10.1200	345.3629
-10.1000	344.7140
-10.0800	344.0618
-10.0600	343.4065
-10.0400	342.7479
-10.0200	342.0862
-10.0000	341.4214
 -9.9800	340.7534
 -9.9600	340.0822
 -9.9400	339.4080
 -9.9200	338.7307
 -9.9000	338.0502
 -9.8800	337.3668
 -9.8600	336.6802
 -9.8400	335.9907
 -9.8200	335.2981
 -9.8000	334.6025
 -9.7800	333.9039
 -9.7600	333.2024
 -9.7400	332.4979
 -9.7200	331.7904
 -9.7000	331.0800
 -9.6800	330.3667
 -9.6600	329.6506
 -9.6400	328.9315
 -9.6200	328.2096
 -9.6000	327.4848
 -9.5800	326.7572
 -9.5600	326.0268
 -9.5400	325.2936
 -9.5200	324.5576
 -9.5000	323.8188
 -9.4800	323.0773
 -9.4600	322.3330
 -9.4400	321.5861
 -9.4200	320.8364
 -9.4000	320.0840
 -9.3800	319.3290
 -9.3600	318.5714
 -9.3400	317.8111
 -9.3200	317.0482
 -9.3000	316.2826
 -9.2800	315.5145
 -9.2600	314.7439
 -9.2400	313.9707
 -9.2200	313.1949
 -9.2000	312.4167
 -9.1800	311.6359
 -9.1600	310.8527
 -9.1400	310.0670
 -9.1200	309.2789
 -9.1000	308.4883
 -9.0800	307.6953
 -9.0600	306.9000
 -9.0400	306.1022
 -9.0200	305.3021
 -9.0000	304.4997
 -8.9800	303.6950
 -8.9600	302.8879
 -8.9400	302.0786
 -8.9200	301.2670
 -8.9000	300.4531
 -8.8800	299.6370
 -8.8600	298.8187
 -8.8400	297.9982
 -8.8200	297.1756
 -8.8000	296.3507
 -8.7800	295.5238
 -8.7600	294.6947
 -8.7400	293.8635
 -8.7200	293.0302
 -8.7000	292.1949
 -8.6800	291.3575
 -8.6600	290.5181
 -8.6400	289.6766
 -8.6200	288.8332
 -8.6000	287.9878
 -8.5800	287.1405
 -8.5600	286.2912
 -8.5400	285.4400
 -8.5200	284.5869
 -8.5000	283.7319
 -8.4800	282.8751
 -8.4600	282.0164
 -8.4400	281.1560
 -8.4200	280.2937
 -8.4000	279.4296
 -8.3800	278.5637
 -8.3600	277.6961
 -8.3400	276.8268
 -8.3200	275.9558
 -8.3000	275.0831
 -8.2800	274.2087
 -8.2600	273.3327
 -8.2400	272.4551
 -8.2200	271.5758
 -8.2000	270.6950
 -8.1800	269.8126
 -8.1600	268.9286
 -8.1400	268.0431
 -8.1200	267.1561
 -8.1000	266.2676
 -8.0800	265.3776
 -8.0600	264.4862
 -8.0400	263.5933
 -8.0200	262.6991
 -8.0000	261.8034
 -7.9800	260.9064
 -7.9600	260.0080
 -7.9400	259.1083
 -7.9200	258.2072
 -7.9000	257.3049
 -7.8800	256.4013
 -7.8600	255.4965
 -7.8400	254.5904
 -7.8200	253.6831
 -7.8000	252.7746
 -7.7800	251.8650
 -7.7600	250.9541
 -7.7400	250.0422
 -7.7200	249.1292
 -7.7000	248.2150
 -7.6800	247.2998
 -7.6600	246.3835
 -7.6400	245.4662
 -7.6200	244.5479
 -7.6000	243.6286
 -7.5800	242.7084
 -7.5600	241.7872
 -7.5400	240.8650
 -7.5200	239.9420
 -7.5000	239.0181
 -7.4800	238.0933
 -7.4600	237.1676
 -7.4400	236.2412
 -7.4200	235.3139
 -7.4000	234.3858
 -7.3800	233.4570
 -7.3600	232.5274
 -7.3400	231.5971
 -7.3200	230.6662
 -7.3000	229.7345
 -7.2800	228.8022
 -7.2600	227.8692
 -7.2400	226.9356
 -7.2200	226.0014
 -7.2000	225.0666
 -7.1800	224.1313
 -7.1600	223.1955
 -7.1400	222.2591
 -7.1200	221.3222
 -7.1000	220.3849
 -7.0800	219.4471
 -7.0600	218.5089
 -7.0400	217.5702
 -7.0200	216.6312
 -7.0000	215.6918
 -6.9800	214.7521
 -6.9600	213.8120
 -6.9400	212.8716
 -6.9200	211.9310
 -6.9000	210.9900
 -6.8800	210.0489
 -6.8600	209.1075
 -6.8400	208.1659
 -6.8200	207.2241
 -6.8000	206.2822
 -6.7800	205.3401
 -6.7600	204.3979
 -6.7400	203.4556
 -6.7200	202.5132
 -6.7000	201.5708
 -6.6800	200.6283
 -6.6600	199.6858
 -6.6400	198.7434
 -6.6200	197.8009
 -6.6000	196.8585
 -6.5800	195.9162
 -6.5600	194.9740
 -6.5400	194.0319
 -6.5200	193.0899
 -6.5000	192.1480
 -6.4800	191.2064
 -6.4600	190.2649
 -6.4400	189.3237
 -6.4200	188.3827
 -6.4000	187.4419
 -6.3800	186.5014
 -6.3600	185.5612
 -6.3400	184.6214
 -6.3200	183.6819
 -6.3000	182.7427
 -6.2800	181.8040
 -6.2600	180.8656
 -6.2400	179.9277
 -6.2200	178.9902
 -6.2000	178.0531
 -6.1800	177.1166
 -6.1600	176.1806
 -6.1400	175.2451
 -6.1200	174.3101
 -6.1000	173.3757
 -6.0800	172.4419
 -6.0600	171.5088
 -6.0400	170.5762
 -6.0200	169.6443
 -6.0000	168.7131
 -5.9800	167.7826
 -5.9600	166.8528
 -5.9400	165.9237
 -5.9200	164.9954
 -5.9000	164.0679
 -5.8800	163.1411
 -5.8600	162.2152
 -5.8400	161.2901
 -5.8200	160.3659
 -5.8000	159.4425
 -5.7800	158.5201
 -5.7600	157.5986
 -5.7400	156.6780
 -5.7200	155.7584
 -5.7000	154.8397
 -5.6800	153.9221
 -5.6600	153.0055
 -5.6400	152.0899
 -5.6200	151.1754
 -5.6000	150.2620
 -5.5800	149.3497
 -5.5600	148.4385
 -5.5400	147.5285
 -5.5200	146.6196
 -5.5000	145.7119
 -5.4800	144.8054
 -5.4600	143.9002
 -5.4400	142.9961
 -5.4200	142.0934
 -5.4000	141.1919
 -5.3800	140.2918
 -5.3600	139.3929
 -5.3400	138.4955
 -5.3200	137.5993
 -5.3000	136.7046
 -5.2800	135.8113
 -5.2600	134.9194
 -5.2400	134.0289
 -5.2200	133.1399
 -5.2000	132.2524
 -5.1800	131.3664
 -5.1600	130.4819
 -5.1400	129.5990
 -5.1200	128.7176
 -5.1000	127.8378
 -5.0800	126.9596
 -5.0600	126.0831
 -5.0400	125.2082
 -5.0200	124.3349
 -5.0000	123.4633
 -4.9800	122.5934
 -4.9600	121.7253
 -4.9400	120.8588
 -4.9200	119.9942
 -4.9000	119.1313
 -4.8800	118.2702
 -4.8600	117.4109
 -4.8400	116.5535
 -4.8200	115.6979
 -4.8000	114.8441
 -4.7800	113.9923
 -4.7600	113.1424
 -4.7400	112.2944
 -4.7200	111.4484
 -4.7000	110.6043
 -4.6800	109.7622
 -4.6600	108.9221
 -4.6400	108.0840
 -4.6200	107.2480
 -4.6000	106.4140
 -4.5800	105.5821
 -4.5600	104.7524
 -4.5400	103.9247
 -4.5200	103.0991
 -4.5000	102.2758
 -4.4800	101.4545
 -4.4600	100.6355
 -4.4400	 99.8187
 -4.4200	 99.0041
 -4.4000	 98.1917
 -4.3800	 97.3816
 -4.3600	 96.5738
 -4.3400	 95.7683
 -4.3200	 94.9651
 -4.3000	 94.1642
 -4.2800	 93.3657
 -4.2600	 92.5695
 -4.2400	 91.7757
 -4.2200	 90.9844
 -4.2000	 90.1954
 -4.1800	 89.4089
 -4.1600	 88.6249
 -4.1400	 87.8433
 -4.1200	 87.0642
 -4.1000	 86.2876
 -4.0800	 85.5136
 -4.0600	 84.7421
 -4.0400	 83.9731
 -4.0200	 83.2067
 -4.0000	 82.4429
 -3.9800	 81.6818
 -3.9600	 80.9232
 -3.9400	 80.1673
 -3.9200	 79.4141
 -3.9000	 78.6635
 -3.8800	 77.9157
 -3.8600	 77.1705
 -3.8400	 76.4281
 -3.8200	 75.6884
 -3.8000	 74.9515
 -3.7800	 74.2173
 -3.7600	 73.4860
 -3.7400	 72.7574
 -3.7200	 72.0317
 -3.7000	 71.3088
 -3.6800	 70.5888
 -3.6600	 69.8717
 -3.6400	 69.1574
 -3.6200	 68.4461
 -3.6000	 67.7376
 -3.5800	 67.0321
 -3.5600	 66.3296
 -3.5400	 65.6300
 -3.5200	 64.9334
 -3.5000	 64.2399
 -3.4800	 63.5493
 -3.4600	 62.8617
 -3.4400	 62.1772
 -3.4200	 61.4958
 -3.4000	 60.8174
 -3.3800	 60.1422
 -3.3600	 59.4700
 -3.3400	 58.8010
 -3.3200	 58.1351
 -3.3000	 57.4723
 -3.2800	 56.8127
 -3.2600	 56.1563
 -3.2400	 55.5031
 -3.2200	 54.8531
 -3.2000	 54.2063
 -3.1800	 53.5627
 -3.1600	 52.9224
 -3.1400	 52.2854
 -3.1200	 51.6516
 -3.1000	 51.0212
 -3.0800	 50.3940
 -3.0600	 49.7702
 -3.0400	 49.1497
 -3.0200	 48.5326
 -3.0000	 47.9188
 -2.9800	 47.3084
 -2.9600	 46.7014
 -2.9400	 46.0978
 -2.9200	 45.4976
 -2.9000	 44.9009
 -2.8800	 44.3075
 -2.8600	 43.7177
 -2.8400	 43.1313
 -2.8200	 42.5484
 -2.8000	 41.9690
 -2.7800	 41.3931
 -2.7600	 40.8207
 -2.7400	 40.2519
 -2.7200	 39.6866
 -2.7000	 39.1249
 -2.6800	 38.5667
 -2.6600	 38.0121
 -2.6400	 37.4612
 -2.6200	 36.9138
 -2.6000	 36.3701
 -2.5800	 35.8299
 -2.5600	 35.2935
 -2.5400	 34.7607
 -2.5200	 34.2315
 -2.5000	 33.7061
 -2.4800	 33.1843
 -2.4600	 32.6663
 -2.4400	 32.1519
 -2.4200	 31.6413
 -2.4000	 31.1344
 -2.3800	 30.6313
 -2.3600	 30.1319
 -2.3400	 29.6363
 -2.3200	 29.1445
 -2.3000	 28.6565
 -2.2800	 28.1723
 -2.2600	 27.6919
 -2.2400	 27.2153
 -2.2200	 26.7426
 -2.2000	 26.2737
 -2.1800	 25.8087
 -2.1600	 25.3475
 -2.1400	 24.8902
 -2.1200	 24.4368
 -2.1000	 23.9873
 -2.0800	 23.5418
 -2.0600	 23.1001
 -2.0400	 22.6623
 -2.0200	 22.2285
 -2.0000	 21.7987
 -1.9800	 21.3728
 -1.9600	 20.9509
 -1.9400	 20.5329
 -1.9200	 20.1189
 -1.9000	 19.7090
 -1.8800	 19.3030
 -1.8600	 18.9011
 -1.8400	 18.5031
 -1.8200	 18.1092
 -1.8000	 17.7193
 -1.7800	 17.3335
 -1.7600	 16.9518
 -1.7400	 16.5741
 -1.7200	 16.2004
 -1.7000	 15.8309
 -1.6800	 15.4655
 -1.6600	 15.1041
 -1.6400	 14.7468
 -1.6200	 14.3937
 -1.6000	 14.0447
 -1.5800	 13.6998
 -1.5600	 13.3591
 -1.5400	 13.0225
 -1.5200	 12.6900
 -1.5000	 12.3617
 -1.4800	 12.0376
 -1.4600	 11.7177
 -1.4400	 11.4019
 -1.4200	 11.0903
 -1.4000	 10.7829
 -1.3800	 10.4797
 -1.3600	 10.1808
 -1.3400	  9.8860
 -1.3200	  9.5955
 -1.3000	  9.3092
 -1.2800	  9.0271
 -1.2600	  8.7493
 -1.2400	  8.4757
 -1.2200	  8.2063
 -1.2000	  7.9413
 -1.1800	  7.6805
 -1.1600	  7.4239
 -1.1400	  7.1717
 -1.1200	  6.9237
 -1.1000	  6.6800
 -1.0800	  6.4406
 -1.0600	  6.2055
 -1.0400	  5.9747
 -1.0200	  5.7482
 -1.0000	  5.5260
 -0.9800	  5.3082
 -0.9600	  5.0946
 -0.9400	  4.8854
 -0.9200	  4.6805
 -0.9000	  4.4800
 -0.8800	  4.2838
 -0.8600	  4.0920
 -0.8400	  3.9045
 -0.8200	  3.7213
 -0.8000	  3.5425
 -0.7800	  3.3681
 -0.7600	  3.1981
 -0.7400	  3.0324
 -0.7200	  2.8711
 -0.7000	  2.7141
 -0.6800	  2.5616
 -0.6600	  2.4134
 -0.6400	  2.2697
 -0.6200	  2.1303
 -0.6000	  1.9953
 -0.5800	  1.8647
 -0.5600	  1.7385
 -0.5400	  1.6167
 -0.5200	  1.4993
 -0.5000	  1.3863
 -0.4800	  1.2777
 -0.4600	  1.1736
 -0.4400	  1.0738
 -0.4200	  0.9785
 -0.4000	  0.8876
 -0.3800	  0.8011
 -0.3600	  0.7191
 -0.3400	  0.6414
 -0.3200	  0.5682
 -0.3000	  0.4994
 -0.2800	  0.4351
 -0.2600	  0.3752
 -0.2400	  0.3197
 -0.2200	  0.2686
 -0.2000	  0.2220
 -0.1800	  0.1798
 -0.1600	  0.1421
 -0.1400	  0.1088
 -0.1200	  0.0799
 -0.1000	  0.0555
 -0.0800	  0.0355
 -0.0600	  0.0200
 -0.0400	  0.0089
 -0.0200	  0.0022
  0.0000	  0.0000
  0.0200	  0.0022
  0.0400	  0.0089
  0.0600	  0.0200
  0.0800	  0.0355
  0.1000	  0.0555
  0.1200	  0.0799
  0.1400	  0.1088
  0.1600	  0.1421
  0.1800	  0.1798
  0.2000	  0.2220
  0.2200	  0.2686
  0.2400	  0.3197
  0.2600	  0.3752
  0.2800	  0.4351
  0.3000	  0.4994
  0.3200	  0.5682
  0.3400	  0.6414
  0.3600	  0.7191
  0.3800	  0.8011
  0.4000	  0.8876
  0.4200	  0.9785
  0.4400	  1.0738
  0.4600	  1.1736
  0.4800	  1.2777
  0.5000	  1.3863
  0.5200	  1.4993
  0.5400	  1.6167
  0.5600	  1.7385
  0.5800	  1.8647
  0.6000	  1.9953
  0.6200	  2.1303
  0.6400	  2.2697
  0.6600	  2.4134
  0.6800	  2.5616
  0.7000	  2.7141
  0.7200	  2.8711
  0.7400	  3.0324
  0.7600	  3.1981
  0.7800	  3.3681
  0.8000	  3.5425
  0.8200	  3.7213
  0.8400	  3.9045
  0.8600	  4.0920
  0.8800	  4.2838
  0.9000	  4.4800
  0.9200	  4.6805
  0.9400	  4.8854
  0.9600	  5.0946
  0.9800	  5.3082
  1.0000	  5.5260
  1.0200	  5.7482
  1.0400	  5.9747
  1.0600	  6.2055
  1.0800	  6.4406
  1.1000	  6.6800
  1.1200	  6.9237
  1.1400	  7.1717
  1.1600	  7.4239
  1.1800	  7.6805
  1.2000	  7.9413
  1.2200	  8.2063
  1.2400	  8.4757
  1.2600	  8.7493
  1.2800	  9.0271
  1.3000	  9.3092
  1.3200	  9.5955
  1.3400	  9.8860
  1.3600	 10.1808
  1.3800	 10.4797
  1.4000	 10.7829
  1.4200	 11.0903
  1.4400	 11.4019
  1.4600	 11.7177
  1.4800	 12.0376
  1.5000	 12.3617
  1.5200	 12.6900
  1.5400	 13.0225
  1.5600	 13.3591
  1.5800	 13.6998
  1.6000	 14.0447
  1.6200	 14.3937
  1.6400	 14.7468
  1.6600	 15.1041
  1.6800	 15.4655
  1.7000	 15.8309
  1.7200	 16.2004
  1.7400	 16.5741
  1.7600	 16.9518
  1.7800	 17.3335
  1.8000	 17.7193
  1.8200	 18.1092
  1.8400	 18.5031
  1.8600	 18.9011
  1.8800	 19.3030
  1.9000	 19.7090
  1.9200	 20.1189
  1.9400	 20.5329
  1.9600	 20.9509
  1.9800	 21.3728
  2.0000	 21.7987
  2.0200	 22.2285
  2.0400	 22.6623
  2.0600	 23.1001
  2.0800	 23.5418
  2.1000	 23.9873
  2.1200	 24.4368
  2.1400	 24.8902
  2.1600	 25.3475
  2.1800	 25.8087
  2.2000	 26.2737
  2.2200	 26.7426
  2.2400	 27.2153
  2.2600	 27.6919
  2.2800	 28.1723
  2.3000	 28.6565
  2.3200	 29.1445
  2.3400	 29.6363
  2.3600	 30.1319
  2.3800	 30.6313
  2.4000	 31.1344
  2.4200	 31.6413
  2.4400	 32.1519
  2.4600	 32.6663
  2.4800	 33.1843
  2.5000	 33.7061
  2.5200	 34.2315
  2.5400	 34.7607
  2.5600	 35.2935
  2.5800	 35.8299
  2.6000	 36.3701
  2.6200	 36.9138
  2.6400	 37.4612
  2.6600	 38.0121
  2.6800	 38.5667
  2.7000	 39.1249
  2.7200	 39.6866
  2.7400	 40.2519
  2.7600	 40.8207
  2.7800	 41.3931
  2.8000	 41.9690
  2.8200	 42.5484
  2.8400	 43.1313
  2.8600	 43.7177
  2.8800	 44.3075
  2.9000	 44.9009
  2.9200	 45.4976
  2.9400	 46.0978
  2.9600	 46.7014
  2.9800	 47.3084
  3.0000	 47.9188
  3.0200	 48.5326
  3.0400	 49.1497
  3.0600	 49.7702
  3.0800	 50.3940
  3.1000	 51.0212
  3.1200	 51.6516
  3.1400	 52.2854
  3.1600	 52.9224
  3.1800	 53.5627
  3.2000	 54.2063
  3.2200	 54.8531
  3.2400	 55.5031
  3.2600	 56.1563
  3.2800	 56.8127
  3.3000	 57.4723
  3.3200	 58.1351
  3.3400	 58.8010
  3.3600	 59.4700
  3.3800	 60.1422
  3.4000	 60.8174
  3.4200	 61.4958
  3.4400	 62.1772
  3.4600	 62.8617
  3.4800	 63.5493
  3.5000	 64.2399
  3.5200	 64.9334
  3.5400	 65.6300
  3.5600	 66.3296
  3.5800	 67.0321
  3.6000	 67.7376
  3.6200	 68.4461
  3.6400	 69.1574
  3.6600	 69.8717
  3.6800	 70.5888
  3.7000	 71.3088
  3.7200	 72.0317
