Current(A)	Counts(n)
-22.8800	 57.0188
-22.6400	 19.1143
-22.4000	 23.2801
-22.1600	 17.3848
-21.9200	 18.0303
-21.6800	 -0.8466
-21.4400	  0.0739
-21.2000	-20.8248
-20.9600	 43.2493
-20.7200	 15.1114
-20.4800	 14.7531
-20.2400	-19.8284
-20.0000	 11.2973
-19.7600	-31.0946
-19.5200	-20.5173
-19.2800	  4.3209
-19.0400	-36.1396
-18.8000	 17.8287
-18.5600	 16.2991
-18.3200	 16.1880
-18.0800	 33.6430
-17.8400	 14.3276
-17.6000	 42.0233
-17.3600	 56.0618
-17.1200	 31.2987
-16.8800	 36.2037
-16.6400	 20.3092
-16.4000	 53.8618
-16.1600	 54.4672
-15.9200	 44.9879
-15.6800	 60.9815
-15.4400	 64.8021
-15.2000	 79.6365
-14.9600	 87.8923
-14.7200	119.1676
-14.4800	 92.5497
-14.2400	109.7149
-14.0000	100.1613
-13.7600	127.8202
-13.5200	158.2764
-13.2800	161.7190
-13.0400	160.2894
-12.8000	185.4893
-12.5600	195.5987
-12.3200	177.5100
-12.0800	202.2579
-11.8400	205.6667
-11.6000	210.8111
-11.3600	256.6860
-11.1200	217.8413
-10.8800	232.0151
-10.6400	268.3179
-10.4000	280.9309
-10.1600	297.1704
 -9.9200	306.9186
 -9.6800	311.2506
 -9.4400	332.5335
 -9.2000	350.5592
 -8.9600	331.5396
 -8.7200	371.5784
 -8.4800	379.8500
 -8.2400	365.1673
 -8.0000	374.9288
 -7.7600	384.9722
 -7.5200	417.5808
 -7.2800	443.7391
 -7.0400	423.1174
 -6.8000	434.7713
 -6.5600	462.4153
 -6.3200	480.3089
 -6.0800	480.3035
 -5.8400	500.8774
 -5.6000	492.1012
 -5.3600	497.1562
 -5.1200	511.5858
 -4.8800	503.8390
 -4.6400	517.9994
 -4.4000	507.0229
 -4.1600	532.8975
 -3.9200	522.9241
 -3.6800	539.5057
 -3.4400	546.5706
 -3.2000	550.3484
 -2.9600	602.4438
 -2.7200	559.9747
 -2.4800	574.0335
 -2.2400	593.0460
 -2.0000	557.3076
 -1.7600	586.0436
 -1.5200	582.2503
 -1.2800	599.8330
 -1.0400	612.1155
 -0.8000	588.8417
 -0.5600	606.6378
 -0.3200	582.1421
 -0.0800	595.2635
  0.1600	597.8388
  0.4000	610.0370
  0.6400	602.5223
  0.8800	606.1912
  1.1200	599.4551
  1.3600	570.8275
  1.6000	575.6678
  1.8400	610.0014
  2.0800	572.8860
  2.3200	581.8942
  2.5600	582.2449
  2.8000	585.9000
  3.0400	559.1393
  3.2800	584.2075
  3.5200	536.6474
  3.7600	534.0919
  4.0000	521.8016
  4.2400	509.5799
  4.4800	546.2030
  4.7200	501.1631
  4.9600	492.2234
  5.2000	530.5061
  5.4400	505.4578
  5.6800	494.5517
  5.9200	472.8125
  6.1600	480.3038
  6.4000	467.3362
  6.6400	452.7397
  6.8800	437.6372
  7.1200	442.1047
  7.3600	421.0674
  7.6000	409.8151
  7.8400	406.7270
  8.0800	370.8030
  8.3200	376.7399
  8.5600	360.7831
  8.8000	369.0782
  9.0400	351.5596
  9.2800	330.8779
  9.5200	327.5397
  9.7600	326.9625
