Current(A)	Counts(n)
 11.8400	4124.8847
 12.1600	4311.0485
 12.4800	4498.1914
 12.8000	4686.0474
 13.1200	4874.3495
 13.4400	5062.8302
 13.7600	5251.2216
 14.0800	5439.2560
 14.4000	5626.6662
 14.7200	5813.1858
 15.0400	5998.5499
 15.3600	6182.4950
 15.6800	6364.7597
 16.0000	6545.0850
 16.3200	6723.2146
 16.6400	6898.8955
 16.9600	7071.8779
 17.2800	7241.9161
 17.6000	7408.7684
 17.9200	7572.1977
 18.2400	7731.9717
 18.5600	7887.8635
 18.8800	8039.6515
 19.2000	8187.1199
 19.5200	8330.0593
 19.8400	8468.2665
 20.1600	8601.5451
 20.4800	8729.7057
 20.8000	8852.5662
 21.1200	8969.9520
 21.4400	9081.6963
 21.7600	9187.6402
 22.0800	9287.6333
 22.4000	9381.5334
 22.7200	9469.2071
 23.0400	9550.5299
 23.3600	9625.3860
 23.6800	9693.6693
 24.0000	9755.2826
 24.3200	9810.1384
 24.6400	9858.1587
 24.9600	9899.2753
 25.2800	9933.4297
 25.6000	9960.5735
 25.9200	9980.6680
 26.2400	9993.6848
 26.5600	9999.6052
 26.8800	9998.4209
 27.2000	9990.1336
 27.5200	9974.7551
 27.8400	9952.3071
 28.1600	9922.8217
 28.4800	9886.3406
 28.8000	9842.9158
 29.1200	9792.6089
 29.4400	9735.4915
 29.7600	9671.6447
 30.0800	9601.1592
 30.4000	9524.1353
 30.7200	9440.6822
 31.0400	9350.9188
 31.3600	9254.9724
 31.6800	9152.9795
 32.0000	9045.0850
 32.3200	8931.4422
 32.6400	8812.2126
 32.9600	8687.5656
 33.2800	8557.6784
 33.6000	8422.7355
 33.9200	8282.9288
 34.2400	8138.4568
 34.5600	7989.5249
 34.8800	7836.3447
 35.2000	7679.1340
 35.5200	7518.1160
 35.8400	7353.5197
 36.1600	7185.5788
 36.4800	7014.5322
 36.8000	6840.6228
 37.1200	6664.0977
 37.4400	6485.2079
 37.7600	6304.2075
 38.0800	6121.3538
 38.4000	5936.9066
 38.7200	5751.1279
 39.0400	5564.2819
 39.3600	5376.6340
 39.6800	5188.4509
